,0,1,2,3,label
304,Elizabeth,F,3603,1895,0
305,Ruth,F,3551,1895,0
306,Florence,F,3471,1895,0
307,Ethel,F,3391,1895,0
308,Marie,F,3011,1895,0
309,Emma,F,2952,1895,0
310,John,M,8320,1895,0
311,William,M,7277,1895,0
312,James,M,5335,1895,0
313,George,M,4289,1895,0
314,Charles,M,3633,1895,0
315,Frank,M,3012,1895,0
316,Joseph,M,2992,1895,0
317,Robert,M,2635,1895,0
318,Henry,M,2221,1895,0
319,Edward,M,2203,1895,0
320,Mary,F,13811,1896,0
321,Anna,F,5860,1896,0
322,Helen,F,4392,1896,0
323,Margaret,F,4050,1896,0
324,Ruth,F,3905,1896,0
325,Ethel,F,3502,1896,0
326,Elizabeth,F,3471,1896,0
327,Florence,F,3323,1896,0
328,Marie,F,3087,1896,0
329,Emma,F,2872,1896,0
330,John,M,8138,1896,0
331,William,M,7747,1896,0
332,James,M,5207,1896,0
333,George,M,4286,1896,0
334,Charles,M,3639,1896,0
335,Joseph,M,3051,1896,0
336,Frank,M,2845,1896,0
337,Robert,M,2719,1896,0
338,Edward,M,2296,1896,0
339,Henry,M,2183,1896,0
340,Mary,F,13413,1897,0
341,Anna,F,5429,1897,0
342,Helen,F,4519,1897,0
343,Margaret,F,4146,1897,0
344,Ruth,F,3878,1897,0
345,Elizabeth,F,3442,1897,0
346,Florence,F,3369,1897,0
347,Ethel,F,3182,1897,0
348,Marie,F,3078,1897,0
349,Emma,F,2698,1897,0
350,John,M,7550,1897,0
351,William,M,7198,1897,0
352,James,M,5113,1897,0
353,George,M,4078,1897,0
354,Charles,M,3341,1897,0
355,Joseph,M,2827,1897,0
356,Frank,M,2726,1897,0
357,Robert,M,2701,1897,0
358,Edward,M,2121,1897,0
359,Henry,M,1994,1897,0
360,Mary,F,14406,1898,0
361,Anna,F,5773,1898,0
362,Helen,F,5230,1898,0
363,Margaret,F,4696,1898,0
364,Ruth,F,4249,1898,0
365,Florence,F,3790,1898,0
366,Elizabeth,F,3659,1898,0
367,Ethel,F,3531,1898,0
368,Marie,F,3435,1898,0
369,Lillian,F,3061,1898,0
370,John,M,8159,1898,0
371,William,M,7400,1898,0
372,James,M,5321,1898,0
373,George,M,4853,1898,0
374,Charles,M,3557,1898,0
375,Joseph,M,3171,1898,0
376,Robert,M,2932,1898,0
377,Frank,M,2925,1898,0
378,Edward,M,2337,1898,0
379,Thomas,M,2161,1898,0
380,Mary,F,13172,1899,0
381,Anna,F,5115,1899,0
382,Helen,F,5048,1899,0
383,Margaret,F,4249,1899,0
384,Ruth,F,3912,1899,0
385,Florence,F,3314,1899,0
386,Elizabeth,F,3287,1899,0
387,Marie,F,3156,1899,0
388,Ethel,F,2999,1899,0
389,Lillian,F,2703,1899,0
390,John,M,6990,1899,0
391,William,M,6086,1899,0
392,James,M,4597,1899,0
393,George,M,4018,1899,0
394,Charles,M,3147,1899,0
395,Joseph,M,2679,1899,0
396,Robert,M,2609,1899,0
397,Frank,M,2550,1899,0
398,Edward,M,1901,1899,0
399,Henry,M,1831,1899,0
400,Mary,F,16706,1900,0
401,Helen,F,6343,1900,0
402,Anna,F,6114,1900,0
403,Margaret,F,5304,1900,0
404,Ruth,F,4765,1900,0
405,Elizabeth,F,4096,1900,0
406,Florence,F,3920,1900,0
407,Ethel,F,3896,1900,0
408,Marie,F,3856,1900,0
409,Lillian,F,3414,1900,0
410,John,M,9829,1900,0
411,William,M,8579,1900,0
412,James,M,7245,1900,0
413,George,M,5403,1900,0
414,Charles,M,4098,1900,0
415,Robert,M,3821,1900,0
416,Joseph,M,3714,1900,0
417,Frank,M,3477,1900,0
418,Edward,M,2720,1900,0
419,Henry,M,2606,1900,0
420,Mary,F,13136,1901,0
421,Helen,F,5247,1901,0
422,Anna,F,4923,1901,0
423,Margaret,F,4424,1901,0
424,Ruth,F,3974,1901,0
425,Elizabeth,F,3216,1901,0
426,Marie,F,3157,1901,0
427,Florence,F,3131,1901,0
428,Ethel,F,3067,1901,0
429,Lillian,F,2681,1901,0
430,John,M,6900,1901,0
431,William,M,5990,1901,0
432,James,M,4735,1901,0
433,George,M,3609,1901,0
434,Charles,M,3049,1901,0
435,Joseph,M,2766,1901,0
436,Robert,M,2543,1901,0
437,Frank,M,2402,1901,0
438,Edward,M,1917,1901,0
439,Henry,M,1870,1901,0
440,Mary,F,14486,1902,0
441,Helen,F,5967,1902,0
442,Anna,F,5288,1902,0
443,Margaret,F,5011,1902,0
444,Ruth,F,4384,1902,0
445,Elizabeth,F,3694,1902,0
446,Florence,F,3509,1902,0
447,Marie,F,3424,1902,0
448,Ethel,F,3295,1902,0
449,Alice,F,3135,1902,0
450,John,M,7907,1902,0
451,William,M,6616,1902,0
452,James,M,5592,1902,0
453,George,M,4223,1902,0
454,Charles,M,3361,1902,0
455,Robert,M,3180,1902,0
456,Joseph,M,3098,1902,0
457,Frank,M,2756,1902,0
458,Edward,M,2294,1902,0
459,Henry,M,2154,1902,0
460,Mary,F,14275,1903,0
461,Helen,F,6129,1903,0
462,Anna,F,5098,1903,0
463,Margaret,F,5046,1903,0
464,Ruth,F,4518,1903,0
465,Elizabeth,F,3723,1903,0
466,Marie,F,3469,1903,0
467,Florence,F,3468,1903,0
468,Ethel,F,3257,1903,0
469,Mildred,F,3088,1903,0
470,John,M,7608,1903,0
471,William,M,6311,1903,0
472,James,M,5480,1903,0
473,George,M,3961,1903,0
474,Charles,M,3213,1903,0
475,Joseph,M,3121,1903,0
476,Robert,M,3044,1903,0
477,Frank,M,2644,1903,0
478,Edward,M,2268,1903,0
479,Thomas,M,1962,1903,0
480,Mary,F,14961,1904,0
481,Helen,F,6488,1904,0
482,Anna,F,5330,1904,0
483,Margaret,F,5302,1904,0
484,Ruth,F,4900,1904,0
485,Elizabeth,F,3833,1904,0
486,Marie,F,3595,1904,0
487,Florence,F,3572,1904,0
488,Mildred,F,3525,1904,0
489,Dorothy,F,3477,1904,0
490,John,M,8108,1904,0
491,William,M,6416,1904,0
492,James,M,5855,1904,0
493,George,M,4219,1904,0
494,Robert,M,3414,1904,0
495,Charles,M,3406,1904,0
496,Joseph,M,3291,1904,0
497,Frank,M,2799,1904,0
498,Edward,M,2334,1904,0
499,Henry,M,2086,1904,0
500,Mary,F,16067,1905,0
501,Helen,F,6811,1905,0
502,Margaret,F,5690,1905,0
503,Anna,F,5424,1905,0
504,Ruth,F,5068,1905,0
505,Elizabeth,F,4121,1905,0
506,Dorothy,F,3937,1905,0
507,Mildred,F,3758,1905,0
508,Marie,F,3643,1905,0
509,Alice,F,3610,1905,0
510,John,M,8060,1905,0
511,William,M,6495,1905,0
512,James,M,6042,1905,0
513,George,M,4256,1905,0
514,Charles,M,3608,1905,0
515,Robert,M,3410,1905,0
516,Joseph,M,3302,1905,0
517,Frank,M,2837,1905,0
518,Edward,M,2366,1905,0
519,Thomas,M,2135,1905,0
520,Mary,F,16370,1906,0
521,Helen,F,7176,1906,0
522,Margaret,F,6096,1906,0
523,Anna,F,5502,1906,0
524,Ruth,F,5140,1906,0
525,Dorothy,F,4326,1906,0
526,Elizabeth,F,4321,1906,0
527,Alice,F,4192,1906,0
528,Mildred,F,3873,1906,0
529,Florence,F,3691,1906,0
530,John,M,8265,1906,0
531,William,M,6566,1906,0
532,James,M,5908,1906,0
533,George,M,4201,1906,0
534,Robert,M,3635,1906,0
535,Charles,M,3607,1906,0
536,Joseph,M,3527,1906,0
537,Frank,M,2798,1906,0
538,Edward,M,2398,1906,0
539,Thomas,M,2176,1906,0
540,Mary,F,17580,1907,0
541,Helen,F,7579,1907,0
542,Margaret,F,6713,1907,0
543,Anna,F,5575,1907,0
544,Ruth,F,5573,1907,0
545,Dorothy,F,4967,1907,0
546,Elizabeth,F,4624,1907,0
547,Mildred,F,4277,1907,0
548,Alice,F,4107,1907,0
549,Marie,F,3880,1907,0
550,John,M,8983,1907,0
551,William,M,6904,1907,0
552,James,M,6707,1907,0
553,George,M,4445,1907,0
554,Robert,M,4020,1907,0
555,Charles,M,3884,1907,0
556,Joseph,M,3844,1907,0
557,Frank,M,2943,1907,0
558,Edward,M,2576,1907,0
559,Henry,M,2203,1907,0
560,Mary,F,18665,1908,0
561,Helen,F,8439,1908,0
562,Margaret,F,6976,1908,0
563,Ruth,F,6180,1908,0
564,Anna,F,5860,1908,0
565,Dorothy,F,5703,1908,0
566,Elizabeth,F,4904,1908,0
567,Mildred,F,4624,1908,0
568,Alice,F,4270,1908,0
569,Marie,F,4076,1908,0
570,John,M,9342,1908,0
571,William,M,7528,1908,0
572,James,M,7012,1908,0
573,George,M,4584,1908,0
574,Robert,M,4219,1908,0
575,Joseph,M,4162,1908,0
576,Charles,M,3929,1908,0
577,Frank,M,3146,1908,0
578,Edward,M,2707,1908,0
579,Thomas,M,2301,1908,0
580,Mary,F,19259,1909,0
581,Helen,F,9250,1909,0
582,Margaret,F,7359,1909,0
583,Ruth,F,6509,1909,0
584,Dorothy,F,6253,1909,0
585,Anna,F,5804,1909,0
586,Elizabeth,F,5176,1909,0
587,Mildred,F,5054,1909,0
588,Marie,F,4301,1909,0
589,Alice,F,4170,1909,0
590,John,M,9591,1909,0
591,William,M,7914,1909,0
592,James,M,7594,1909,0
593,George,M,4688,1909,0
594,Robert,M,4563,1909,0
595,Joseph,M,4348,1909,0
596,Charles,M,4029,1909,0
597,Frank,M,3244,1909,0
598,Edward,M,2935,1909,0
599,Thomas,M,2468,1909,0
600,Mary,F,22848,1910,0
601,Helen,F,10479,1910,0
602,Margaret,F,8226,1910,0
603,Dorothy,F,7318,1910,0
604,Ruth,F,7212,1910,0
605,Anna,F,6436,1910,0
606,Elizabeth,F,5800,1910,0
607,Mildred,F,5692,1910,0
608,Marie,F,4790,1910,0
609,Alice,F,4671,1910,0
610,John,M,11450,1910,0
611,James,M,9195,1910,0
612,William,M,8844,1910,0
613,Robert,M,5609,1910,0
614,George,M,5441,1910,0
615,Joseph,M,5228,1910,0
616,Charles,M,4785,1910,0
617,Frank,M,3768,1910,0
618,Edward,M,3408,1910,0
619,Henry,M,2899,1910,0
620,Mary,F,24390,1911,0
621,Helen,F,11801,1911,0
622,Margaret,F,9279,1911,0
623,Dorothy,F,8869,1911,0
624,Ruth,F,8003,1911,0
625,Anna,F,6753,1911,0
626,Elizabeth,F,6298,1911,0
627,Mildred,F,6271,1911,0
628,Marie,F,5017,1911,0
629,Frances,F,4967,1911,0
630,John,M,13446,1911,0
631,William,M,10593,1911,0
632,James,M,9951,1911,0
633,George,M,6586,1911,0
634,Robert,M,6526,1911,0
635,Joseph,M,6488,1911,0
636,Charles,M,5725,1911,0
637,Frank,M,4314,1911,0
638,Edward,M,4164,1911,0
639,Thomas,M,3292,1911,0
640,Mary,F,32304,1912,0
641,Helen,F,16133,1912,0
642,Dorothy,F,12645,1912,0
643,Margaret,F,12536,1912,0
644,Ruth,F,11280,1912,0
645,Mildred,F,8764,1912,0
646,Anna,F,8586,1912,0
647,Elizabeth,F,8528,1912,0
648,Frances,F,6680,1912,0
649,Marie,F,6642,1912,0
650,John,M,24587,1912,0
651,William,M,19626,1912,0
652,James,M,17644,1912,0
653,Robert,M,12836,1912,0
654,Joseph,M,12062,1912,0
655,George,M,11734,1912,0
656,Charles,M,11070,1912,0
657,Edward,M,7936,1912,0
658,Frank,M,7912,1912,0
659,Thomas,M,6087,1912,0
660,Mary,F,36642,1913,0
661,Helen,F,18888,1913,0
662,Dorothy,F,14674,1913,0
663,Margaret,F,14486,1913,0
664,Ruth,F,12609,1913,0
665,Mildred,F,9921,1913,0
666,Anna,F,9687,1913,0
667,Elizabeth,F,9505,1913,0
668,Frances,F,7694,1913,0
669,Marie,F,7353,1913,0
670,John,M,29329,1913,0
671,William,M,23538,1913,0
672,James,M,20832,1913,0
673,Robert,M,15684,1913,0
674,Joseph,M,14471,1913,0
675,George,M,13874,1913,0
676,Charles,M,13190,1913,0
677,Edward,M,9474,1913,0
678,Frank,M,9237,1913,0
679,Thomas,M,7096,1913,0
680,Mary,F,45345,1914,0
681,Helen,F,23221,1914,0
682,Dorothy,F,18782,1914,0
683,Margaret,F,17763,1914,0
684,Ruth,F,15839,1914,0
685,Anna,F,11865,1914,0
686,Mildred,F,11650,1914,0
687,Elizabeth,F,11367,1914,0
688,Frances,F,9677,1914,0
689,Marie,F,8829,1914,0
690,John,M,37948,1914,0
691,William,M,29753,1914,0
692,James,M,26263,1914,0
693,Robert,M,21188,1914,0
694,Joseph,M,18829,1914,0
695,George,M,17603,1914,0
696,Charles,M,16937,1914,0
697,Edward,M,12318,1914,0
698,Frank,M,12002,1914,0
699,Walter,M,8962,1914,0
700,Mary,F,58187,1915,0
701,Helen,F,30866,1915,0
702,Dorothy,F,25154,1915,0
703,Margaret,F,23054,1915,0
704,Ruth,F,21878,1915,0
705,Mildred,F,15254,1915,0
706,Anna,F,15119,1915,0
707,Elizabeth,F,14103,1915,0
708,Frances,F,12787,1915,0
709,Evelyn,F,11595,1915,0
710,John,M,47576,1915,0
711,William,M,38564,1915,0
712,James,M,33775,1915,0
713,Robert,M,28738,1915,0
714,Joseph,M,23052,1915,0
715,George,M,22307,1915,0
716,Charles,M,21960,1915,0
717,Edward,M,15889,1915,0
718,Frank,M,15006,1915,0
719,Thomas,M,11490,1915,0
720,Mary,F,61438,1916,0
721,Helen,F,32662,1916,0
722,Dorothy,F,27417,1916,0
723,Margaret,F,24953,1916,0
724,Ruth,F,23190,1916,0
725,Mildred,F,15633,1916,0
726,Anna,F,15228,1916,0
727,Elizabeth,F,14939,1916,0
728,Frances,F,13746,1916,0
729,Virginia,F,12487,1916,0
730,John,M,50043,1916,0
731,William,M,40419,1916,0
732,James,M,35569,1916,0
733,Robert,M,31741,1916,0
734,Joseph,M,23883,1916,0
735,Charles,M,23611,1916,0
736,George,M,23380,1916,0
737,Edward,M,17005,1916,0
738,Frank,M,15291,1916,0
739,Thomas,M,11998,1916,0
740,Mary,F,64281,1917,0
741,Helen,F,34251,1917,0
742,Dorothy,F,28851,1917,0
743,Margaret,F,25560,1917,0
744,Ruth,F,23568,1917,0
745,Mildred,F,16257,1917,0
746,Anna,F,15160,1917,0
747,Elizabeth,F,15131,1917,0
748,Frances,F,14363,1917,0
749,Virginia,F,14261,1917,0
750,John,M,51853,1917,0
751,William,M,42422,1917,0
752,James,M,37339,1917,0
753,Robert,M,35220,1917,0
754,Joseph,M,24762,1917,0
755,George,M,24196,1917,0
756,Charles,M,24143,1917,0
757,Edward,M,17502,1917,0
758,Frank,M,15769,1917,0
759,Thomas,M,12611,1917,0
760,Mary,F,67366,1918,0
761,Helen,F,36148,1918,0
762,Dorothy,F,32032,1918,0
763,Margaret,F,27139,1918,0
764,Ruth,F,25534,1918,0
765,Mildred,F,17258,1918,0
766,Virginia,F,16421,1918,0
767,Frances,F,16131,1918,0
768,Elizabeth,F,15853,1918,0
769,Anna,F,15666,1918,0
770,John,M,56558,1918,0
771,William,M,45290,1918,0
772,James,M,42118,1918,0
773,Robert,M,40620,1918,0
774,Charles,M,26922,1918,0
775,George,M,26318,1918,0
776,Joseph,M,26263,1918,0
777,Edward,M,19489,1918,0
778,Frank,M,17017,1918,0
779,Thomas,M,13910,1918,0
780,Mary,F,65838,1919,0
781,Helen,F,33706,1919,0
782,Dorothy,F,31734,1919,0
783,Margaret,F,26237,1919,0
784,Ruth,F,24565,1919,0
785,Mildred,F,17300,1919,0
786,Virginia,F,15636,1919,0
787,Elizabeth,F,15287,1919,0
788,Frances,F,15107,1919,0
789,Anna,F,14498,1919,0
790,John,M,53528,1919,0
791,William,M,43971,1919,0
792,James,M,42390,1919,0
793,Robert,M,41027,1919,0
794,Charles,M,25192,1919,0
795,George,M,25172,1919,0
796,Joseph,M,24264,1919,0
797,Edward,M,18535,1919,0
798,Frank,M,15702,1919,0
799,Thomas,M,13434,1919,0
800,Mary,F,70982,1920,0
801,Dorothy,F,36643,1920,0
802,Helen,F,35097,1920,0
803,Margaret,F,27996,1920,0
804,Ruth,F,26102,1920,0
805,Mildred,F,18059,1920,0
806,Virginia,F,17314,1920,0
807,Elizabeth,F,15910,1920,0
808,Frances,F,15883,1920,0
809,Anna,F,14581,1920,0
810,John,M,56913,1920,0
811,William,M,50149,1920,0
812,Robert,M,48676,1920,0
813,James,M,47912,1920,0
814,Charles,M,28308,1920,0
815,George,M,26892,1920,0
816,Joseph,M,25591,1920,0
817,Edward,M,20095,1920,0
818,Frank,M,16430,1920,0
819,Richard,M,15010,1920,0
820,Mary,F,73985,1921,0
821,Dorothy,F,39087,1921,0
822,Helen,F,34822,1921,0
823,Margaret,F,28467,1921,0
824,Ruth,F,25784,1921,0
825,Virginia,F,19033,1921,0
826,Mildred,F,17881,1921,0
827,Betty,F,17638,1921,0
828,Frances,F,15993,1921,0
829,Elizabeth,F,15800,1921,0
830,John,M,58217,1921,0
831,Robert,M,52784,1921,0
832,William,M,51860,1921,0
833,James,M,49748,1921,0
834,Charles,M,29244,1921,0
835,George,M,27476,1921,0
836,Joseph,M,26179,1921,0
837,Edward,M,20818,1921,0
838,Frank,M,16708,1921,0
839,Richard,M,16376,1921,0
840,Mary,F,72173,1922,0
841,Dorothy,F,37716,1922,0
842,Helen,F,32508,1922,0
843,Margaret,F,26865,1922,0
844,Ruth,F,23630,1922,0
845,Betty,F,20895,1922,0
846,Virginia,F,19146,1922,0
847,Mildred,F,16412,1922,0
848,Elizabeth,F,15242,1922,0
849,Frances,F,15053,1922,0
850,John,M,57277,1922,0
851,Robert,M,53793,1922,0
852,William,M,51116,1922,0
853,James,M,49801,1922,0
854,Charles,M,28842,1922,0
855,George,M,27351,1922,0
856,Joseph,M,25699,1922,0
857,Edward,M,20419,1922,0
858,Richard,M,17539,1922,0
859,Frank,M,16014,1922,0
860,Mary,F,71638,1923,0
861,Dorothy,F,39044,1923,0
862,Helen,F,31488,1923,0
863,Margaret,F,26133,1923,0
864,Betty,F,25991,1923,0
865,Ruth,F,23638,1923,0
866,Virginia,F,18326,1923,0
867,Mildred,F,15990,1923,0
868,Elizabeth,F,15461,1923,0
869,Frances,F,14879,1923,0
